Stage;TrainRatio;TestRatio;Metric;K;FeatureCount;Features;RowType;Class;SelectionScore;Accuracy;Precision;Recall;F1;DurationMs
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;001;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.488468;0.742747;0.195929;0.184211;0.189889;27988
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;001;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.488468;0.742747;0.210938;0.216000;0.213439;27988
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;001;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.488468;0.742747;0.300000;0.325792;0.312364;27988
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;001;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.488468;0.742747;0.371608;0.422803;0.395556;27988
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;001;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.488468;0.742747;0.862088;0.856001;0.859034;27988
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;001;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.488468;0.742747;0.226277;0.201299;0.213058;27988
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;001;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.488468;0.742747;0.361140;0.367684;0.363890;27988
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;002;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.499010;0.760006;0.209040;0.177033;0.191710;26933
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;002;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.499010;0.760006;0.240741;0.208000;0.223176;26933
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;002;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.499010;0.760006;0.327189;0.321267;0.324201;26933
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;002;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.499010;0.760006;0.404255;0.406176;0.405213;26933
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;002;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.499010;0.760006;0.859579;0.880342;0.869837;26933
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;002;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.499010;0.760006;0.261682;0.181818;0.214559;26933
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;002;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.499010;0.760006;0.383748;0.362439;0.371449;26933
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;003;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.461071;0.784407;0.242236;0.093301;0.134715;24649
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;003;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.461071;0.784407;0.253731;0.136000;0.177083;24649
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;003;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.461071;0.784407;0.294521;0.194570;0.234332;24649
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;003;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.461071;0.784407;0.430199;0.358670;0.391192;24649
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;003;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.461071;0.784407;0.844351;0.930323;0.885255;24649
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;003;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.461071;0.784407;0.227273;0.097403;0.136364;24649
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;003;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.461071;0.784407;0.382052;0.301711;0.326490;24649
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.450699;0.789912;0.235294;0.066986;0.104283;26604
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.450699;0.789912;0.294118;0.120000;0.170455;26604
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.450699;0.789912;0.270677;0.162896;0.203390;26604
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.450699;0.789912;0.456376;0.323040;0.378303;26604
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.450699;0.789912;0.836462;0.943701;0.886852;26604
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.450699;0.789912;0.312500;0.097403;0.148515;26604
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.450699;0.789912;0.400904;0.285671;0.315300;26604
STAGE_1_K_METRIC;0.50;0.50;Chebyshev;005;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.435972;0.792590;0.236559;0.052632;0.086106;26638
