Stage;TrainRatio;TestRatio;Metric;K;FeatureCount;Features;RowType;Class;SelectionScore;Accuracy;Precision;Recall;F1;DurationMs
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.477030;0.801521;0.319149;0.059840;0.100784;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.477030;0.801521;0.363636;0.125561;0.186667;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.477030;0.801521;0.318182;0.185542;0.234399;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;uk;0.477030;0.801521;0.533795;0.380717;0.444444;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;usa;0.477030;0.801521;0.842197;0.957440;0.896129;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;west-germany;0.477030;0.801521;0.274074;0.128472;0.174941;6505
STAGE_2_SPLIT;0.10;0.90;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;MACRO;MACRO;0.477030;0.801521;0.441839;0.306262;0.339561;6505
STAGE_2_SPLIT;0.20;0.80;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;canada;0.526186;0.811029;0.344828;0.074738;0.122850;11337
STAGE_2_SPLIT;0.20;0.80;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;france;0.526186;0.811029;0.376344;0.181347;0.244755;11337
STAGE_2_SPLIT;0.20;0.80;Manhattan;004;10;longestWord,mostFrequentWord,averageWordLength,vocabularyRichness,averageSentenceLength,uppercaseLetterRatio,financialSignDensity,fleschReadingEaseIndex,vowelToConsonantRatio,sumOfAllNumericValues;CLASS;japan;0.526186;0.811029;0.386364;0.230352;0.288625;11337
