Stage;TrainRatio;TestRatio;Metric;K;FeatureCount;Features;RowType;Class;SelectionScore;Accuracy;Precision;Recall;F1;DurationMs
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageSentenceLength;CLASS;canada;0.286917;0.775525;0.080000;0.012048;0.020942;2122
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageSentenceLength;CLASS;france;0.286917;0.775525;0.000000;0.000000;0.000000;2122
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageSentenceLength;CLASS;japan;0.286917;0.775525;0.188679;0.060241;0.091324;2122
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageSentenceLength;CLASS;uk;0.286917;0.775525;0.093750;0.027190;0.042155;2122
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageSentenceLength;CLASS;usa;0.286917;0.775525;0.805793;0.961271;0.876692;2122
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageSentenceLength;CLASS;west-germany;0.286917;0.775525;0.064516;0.015504;0.025000;2122
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageSentenceLength;MACRO;MACRO;0.286917;0.775525;0.205456;0.179376;0.176019;2122
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageWordLength;CLASS;canada;0.281338;0.767156;0.084337;0.021084;0.033735;2337
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageWordLength;CLASS;france;0.281338;0.767156;0.000000;0.000000;0.000000;2337
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageWordLength;CLASS;japan;0.281338;0.767156;0.156863;0.048193;0.073733;2337
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageWordLength;CLASS;uk;0.281338;0.767156;0.109091;0.036254;0.054422;2337
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageWordLength;CLASS;usa;0.281338;0.767156;0.804950;0.950371;0.871637;2337
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageWordLength;CLASS;west-germany;0.281338;0.767156;0.000000;0.000000;0.000000;2337
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;averageWordLength;MACRO;MACRO;0.281338;0.767156;0.192540;0.175984;0.172254;2337
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;financialSignDensity;CLASS;canada;0.275141;0.775153;0.111111;0.015060;0.026525;1508
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;financialSignDensity;CLASS;france;0.275141;0.775153;0.050000;0.009346;0.015748;1508
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;financialSignDensity;CLASS;japan;0.275141;0.775153;0.068182;0.018072;0.028571;1508
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;financialSignDensity;CLASS;uk;0.275141;0.775153;0.111111;0.027190;0.043689;1508
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;financialSignDensity;CLASS;usa;0.275141;0.775153;0.805318;0.962199;0.876796;1508
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;financialSignDensity;CLASS;west-germany;0.275141;0.775153;0.028571;0.007752;0.012195;1508
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;financialSignDensity;MACRO;MACRO;0.275141;0.775153;0.195716;0.173270;0.167254;1508
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;fleschReadingEaseIndex;CLASS;canada;0.281465;0.757486;0.118280;0.033133;0.051765;1473
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;fleschReadingEaseIndex;CLASS;france;0.281465;0.757486;0.045455;0.009346;0.015504;1473
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;fleschReadingEaseIndex;CLASS;japan;0.281465;0.757486;0.090909;0.042169;0.057613;1473
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;fleschReadingEaseIndex;CLASS;uk;0.281465;0.757486;0.080292;0.033233;0.047009;1473
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;fleschReadingEaseIndex;CLASS;usa;0.281465;0.757486;0.803139;0.937616;0.865183;1473
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;fleschReadingEaseIndex;CLASS;west-germany;0.281465;0.757486;0.000000;0.000000;0.000000;1473
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;fleschReadingEaseIndex;MACRO;MACRO;0.281465;0.757486;0.189679;0.175916;0.172846;1473
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;longestWord;CLASS;canada;0.500905;0.814767;0.508772;0.087349;0.149100;13058
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;longestWord;CLASS;france;0.500905;0.814767;0.205882;0.065421;0.099291;13058
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;longestWord;CLASS;japan;0.500905;0.814767;0.352941;0.180723;0.239044;13058
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;longestWord;CLASS;uk;0.500905;0.814767;0.466960;0.320242;0.379928;13058
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;longestWord;CLASS;usa;0.500905;0.814767;0.849145;0.967301;0.904380;13058
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;longestWord;CLASS;west-germany;0.500905;0.814767;0.612903;0.294574;0.397906;13058
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;longestWord;MACRO;MACRO;0.500905;0.814767;0.499434;0.319268;0.361608;13058
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;mostFrequentWord;CLASS;canada;0.435189;0.759531;0.564103;0.066265;0.118598;10180
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;mostFrequentWord;CLASS;france;0.435189;0.759531;0.714286;0.186916;0.296296;10180
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;mostFrequentWord;CLASS;japan;0.435189;0.759531;0.318182;0.126506;0.181034;10180
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;mostFrequentWord;CLASS;uk;0.435189;0.759531;0.294521;0.259819;0.276083;10180
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;mostFrequentWord;CLASS;usa;0.435189;0.759531;0.842184;0.908395;0.874038;10180
STAGE_3_FEATURES;0.60;0.40;Manhattan;004;01;mostFrequentWord;CLASS;west-germany;0.435189;0.759531;0.059801;0.139535;0.083721;10180
