K;TrainRatio;Metric;Class;Accuracy;Precision;Recall;F1;DurationMs;Status
1;0.10;ChebyshevMetric;canada;0.6959;0.1187;0.0851;0.0991;53322;OK
1;0.10;ChebyshevMetric;france;0.6959;0.0952;0.0987;0.0969;53322;OK
1;0.10;ChebyshevMetric;japan;0.6959;0.1382;0.1542;0.1458;53322;OK
1;0.10;ChebyshevMetric;uk;0.6959;0.2456;0.2781;0.2609;53322;OK
1;0.10;ChebyshevMetric;usa;0.6959;0.8281;0.8334;0.8308;53322;OK
1;0.10;ChebyshevMetric;west-germany;0.6959;0.1227;0.1181;0.1204;53322;OK
1;0.10;EuclideanMetric;canada;0.7258;0.1570;0.1184;0.1350;53977;OK
1;0.10;EuclideanMetric;france;0.7258;0.1659;0.1659;0.1659;53977;OK
1;0.10;EuclideanMetric;japan;0.7258;0.1643;0.1976;0.1794;53977;OK
1;0.10;EuclideanMetric;uk;0.7258;0.3238;0.3375;0.3305;53977;OK
1;0.10;EuclideanMetric;usa;0.7258;0.8493;0.8579;0.8535;53977;OK
1;0.10;EuclideanMetric;west-germany;0.7258;0.2132;0.1910;0.2015;53977;OK
1;0.10;ManhattanMetric;canada;0.7488;0.2116;0.1410;0.1692;55241;OK
1;0.10;ManhattanMetric;france;0.7488;0.1787;0.1659;0.1721;55241;OK
1;0.10;ManhattanMetric;japan;0.7488;0.2372;0.3012;0.2654;55241;OK
1;0.10;ManhattanMetric;uk;0.7488;0.4055;0.4005;0.4030;55241;OK
1;0.10;ManhattanMetric;usa;0.7488;0.8601;0.8730;0.8665;55241;OK
1;0.10;ManhattanMetric;west-germany;0.7488;0.2468;0.2639;0.2550;55241;OK
1;0.20;ChebyshevMetric;canada;0.7127;0.1417;0.1076;0.1223;95451;OK
1;0.20;ChebyshevMetric;france;0.7127;0.1272;0.1503;0.1378;95451;OK
1;0.20;ChebyshevMetric;japan;0.7127;0.1980;0.2141;0.2057;95451;OK
1;0.20;ChebyshevMetric;uk;0.7127;0.2952;0.3209;0.3075;95451;OK
1;0.20;ChebyshevMetric;usa;0.7127;0.8387;0.8436;0.8411;95451;OK
1;0.20;ChebyshevMetric;west-germany;0.7127;0.1717;0.1600;0.1656;95451;OK
1;0.20;EuclideanMetric;canada;0.7424;0.1844;0.1375;0.1575;99899;OK
1;0.20;EuclideanMetric;france;0.7424;0.1981;0.2124;0.2050;99899;OK
1;0.20;EuclideanMetric;japan;0.7424;0.2128;0.2439;0.2273;99899;OK
